ibu_id,nama_ibu,tanggal_lahir,pendidikan,pekerjaan,alamat
I002901,Ibu_2901,1995-07-12,S1,Tidak Bekerja,"Desa_5, Jember"
I002902,Ibu_2902,1986-12-16,SD,Petani,"Desa_48, Jember"
I002903,Ibu_2903,1992-05-13,Tidak Sekolah,Karyawan,"Desa_1, Jember"
I002904,Ibu_2904,1988-06-15,SD,Tidak Bekerja,"Desa_198, Jember"
I002905,Ibu_2905,2012-07-09,Tidak Sekolah,Pedagang,"Desa_128, Jember"
I002906,Ibu_2906,1985-01-22,SMA,Tidak Bekerja,"Desa_120, Jember"
I002907,Ibu_2907,1981-06-11,S1,Pedagang,"Desa_128, Jember"
I002908,Ibu_2908,2009-08-12,SMA,Petani,"Desa_50, Jember"
I002909,Ibu_2909,1998-10-21,D3,IRT,"Desa_14, Jember"
I002910,Ibu_2910,2007-08-01,SD,Petani,"Desa_137, Jember"
I002911,Ibu_2911,1980-09-13,SMA,Karyawan,"Desa_129, Jember"
I002912,Ibu_2912,1990-10-18,Tidak Sekolah,Petani,"Desa_24, Jember"
I002913,Ibu_2913,1989-03-30,SMA,Pedagang,"Desa_85, Jember"
I002914,Ibu_2914,1983-01-07,D3,Pedagang,"Desa_59, Jember"
I002915,Ibu_2915,1984-07-11,Tidak Sekolah,Pedagang,"Desa_6, Jember"
I002916,Ibu_2916,2006-08-23,SMP,Tidak Bekerja,"Desa_42, Jember"
I002917,Ibu_2917,1981-07-04,SD,IRT,"Desa_149, Jember"
I002918,Ibu_2918,2000-01-10,Tidak Sekolah,IRT,"Desa_57, Jember"
I002919,Ibu_2919,2006-10-25,SMA,Tidak Bekerja,"Desa_53, Jember"
I002920,Ibu_2920,2010-02-22,D3,Karyawan,"Desa_52, Jember"
I002921,Ibu_2921,2011-07-19,D3,Karyawan,"Desa_100, Jember"
I002922,Ibu_2922,1982-03-08,SMP,Petani,"Desa_120, Jember"
I002923,Ibu_2923,1990-12-23,S1,IRT,"Desa_115, Jember"
I002924,Ibu_2924,1981-12-25,D3,Petani,"Desa_16, Jember"
I002925,Ibu_2925,1998-01-16,S1,Pedagang,"Desa_89, Jember"
I002926,Ibu_2926,1999-09-09,SMP,Karyawan,"Desa_37, Jember"
I002927,Ibu_2927,1990-07-06,SMA,IRT,"Desa_145, Jember"
I002928,Ibu_2928,2004-03-18,SMA,Karyawan,"Desa_127, Jember"
I002929,Ibu_2929,1989-09-29,SD,Pedagang,"Desa_149, Jember"
I002930,Ibu_2930,1982-07-13,SD,Karyawan,"Desa_35, Jember"
I002931,Ibu_2931,1986-04-14,D3,IRT,"Desa_91, Jember"
I002932,Ibu_2932,2002-08-08,SMA,Pedagang,"Desa_60, Jember"
I002933,Ibu_2933,1992-12-22,SMP,Petani,"Desa_139, Jember"
I002934,Ibu_2934,1990-07-03,D3,Karyawan,"Desa_79, Jember"
I002935,Ibu_2935,2012-10-24,Tidak Sekolah,Pedagang,"Desa_26, Jember"
I002936,Ibu_2936,2005-11-03,S1,Petani,"Desa_181, Jember"
I002937,Ibu_2937,1994-04-21,SD,Petani,"Desa_200, Jember"
I002938,Ibu_2938,2005-11-26,Tidak Sekolah,Petani,"Desa_37, Jember"
I002939,Ibu_2939,2006-10-27,SMP,Petani,"Desa_179, Jember"
I002940,Ibu_2940,2010-03-02,S1,Pedagang,"Desa_115, Jember"
I002941,Ibu_2941,1994-05-20,SMP,Karyawan,"Desa_151, Jember"
I002942,Ibu_2942,1990-08-17,D3,IRT,"Desa_162, Jember"
I002943,Ibu_2943,1993-07-15,D3,Tidak Bekerja,"Desa_27, Jember"
I002944,Ibu_2944,1986-06-05,SMP,IRT,"Desa_58, Jember"
I002945,Ibu_2945,2009-08-12,D3,IRT,"Desa_37, Jember"
I002946,Ibu_2946,2003-05-20,SD,IRT,"Desa_96, Jember"
I002947,Ibu_2947,1989-11-30,SMP,Pedagang,"Desa_57, Jember"
I002948,Ibu_2948,1998-07-20,S1,Tidak Bekerja,"Desa_64, Jember"
I002949,Ibu_2949,1993-06-24,S1,IRT,"Desa_36, Jember"
I002950,Ibu_2950,1992-05-05,D3,Petani,"Desa_180, Jember"
I002951,Ibu_2951,1982-09-25,Tidak Sekolah,Tidak Bekerja,"Desa_92, Jember"
I002952,Ibu_2952,2004-12-21,D3,Karyawan,"Desa_134, Jember"
I002953,Ibu_2953,2006-07-16,D3,IRT,"Desa_194, Jember"
I002954,Ibu_2954,1987-11-09,SD,Tidak Bekerja,"Desa_144, Jember"
I002955,Ibu_2955,2008-01-30,SMA,Tidak Bekerja,"Desa_131, Jember"
I002956,Ibu_2956,2010-06-12,SMP,Tidak Bekerja,"Desa_67, Jember"
I002957,Ibu_2957,1999-03-01,SMA,Pedagang,"Desa_198, Jember"
I002958,Ibu_2958,2004-12-07,SMP,IRT,"Desa_166, Jember"
I002959,Ibu_2959,2002-03-26,S1,Tidak Bekerja,"Desa_200, Jember"
I002960,Ibu_2960,1982-02-07,SD,Tidak Bekerja,"Desa_177, Jember"
I002961,Ibu_2961,1995-06-13,D3,Pedagang,"Desa_5, Jember"
I002962,Ibu_2962,2008-11-09,SMA,Petani,"Desa_78, Jember"
I002963,Ibu_2963,2010-02-11,SMA,Karyawan,"Desa_195, Jember"
I002964,Ibu_2964,1997-02-04,SD,Pedagang,"Desa_21, Jember"
I002965,Ibu_2965,2003-07-11,Tidak Sekolah,Tidak Bekerja,"Desa_109, Jember"
I002966,Ibu_2966,1994-04-19,Tidak Sekolah,IRT,"Desa_45, Jember"
I002967,Ibu_2967,2011-03-27,D3,Petani,"Desa_125, Jember"
I002968,Ibu_2968,1998-09-04,SD,Karyawan,"Desa_71, Jember"
I002969,Ibu_2969,1998-04-24,SD,Tidak Bekerja,"Desa_46, Jember"
I002970,Ibu_2970,1986-09-10,SD,IRT,"Desa_36, Jember"
I002971,Ibu_2971,1993-06-14,S1,Karyawan,"Desa_25, Jember"
I002972,Ibu_2972,1996-11-19,Tidak Sekolah,Tidak Bekerja,"Desa_33, Jember"
I002973,Ibu_2973,1988-03-31,D3,Petani,"Desa_172, Jember"
I002974,Ibu_2974,2004-02-17,SMA,IRT,"Desa_29, Jember"
I002975,Ibu_2975,2001-03-29,Tidak Sekolah,IRT,"Desa_23, Jember"
I002976,Ibu_2976,1990-10-23,SMP,Tidak Bekerja,"Desa_191, Jember"
I002977,Ibu_2977,1990-02-09,SMA,IRT,"Desa_196, Jember"
I002978,Ibu_2978,1993-06-28,S1,Pedagang,"Desa_84, Jember"
I002979,Ibu_2979,2011-09-27,Tidak Sekolah,Tidak Bekerja,"Desa_78, Jember"
I002980,Ibu_2980,1986-06-23,SMA,Tidak Bekerja,"Desa_167, Jember"
I002981,Ibu_2981,2000-10-08,D3,Tidak Bekerja,"Desa_70, Jember"
I002982,Ibu_2982,1982-08-02,SMA,Tidak Bekerja,"Desa_80, Jember"
I002983,Ibu_2983,2005-03-24,SD,IRT,"Desa_166, Jember"
I002984,Ibu_2984,1998-07-06,SMA,Pedagang,"Desa_132, Jember"
I002985,Ibu_2985,1998-09-07,SD,Tidak Bekerja,"Desa_193, Jember"
I002986,Ibu_2986,2004-12-30,SD,IRT,"Desa_90, Jember"
I002987,Ibu_2987,2003-10-10,SMP,Tidak Bekerja,"Desa_4, Jember"
I002988,Ibu_2988,1986-01-05,Tidak Sekolah,IRT,"Desa_38, Jember"
I002989,Ibu_2989,1997-06-03,S1,Pedagang,"Desa_174, Jember"
I002990,Ibu_2990,1990-11-22,S1,IRT,"Desa_77, Jember"
I002991,Ibu_2991,1991-06-09,SD,Petani,"Desa_194, Jember"
I002992,Ibu_2992,1989-02-13,SMP,Petani,"Desa_105, Jember"
I002993,Ibu_2993,1994-10-25,D3,Pedagang,"Desa_179, Jember"
I002994,Ibu_2994,2009-01-03,SMP,IRT,"Desa_19, Jember"
I002995,Ibu_2995,1983-07-19,SD,Pedagang,"Desa_5, Jember"
I002996,Ibu_2996,2000-03-05,SMA,IRT,"Desa_174, Jember"
I002997,Ibu_2997,1996-08-23,SMP,Tidak Bekerja,"Desa_177, Jember"
I002998,Ibu_2998,1984-02-23,D3,IRT,"Desa_19, Jember"
I002999,Ibu_2999,2004-01-10,D3,IRT,"Desa_100, Jember"
I003000,Ibu_3000,2012-07-02,SMP,Pedagang,"Desa_137, Jember"
I003001,Ibu_3001,1988-07-17,D3,Karyawan,"Desa_24, Jember"
I003002,Ibu_3002,1982-04-24,SMP,Petani,"Desa_1, Jember"
I003003,Ibu_3003,1992-01-16,S1,Pedagang,"Desa_127, Jember"
I003004,Ibu_3004,1996-12-01,SD,Tidak Bekerja,"Desa_27, Jember"
I003005,Ibu_3005,2010-03-21,SMA,Karyawan,"Desa_64, Jember"
I003006,Ibu_3006,2007-02-19,Tidak Sekolah,Tidak Bekerja,"Desa_124, Jember"
I003007,Ibu_3007,2007-01-17,SMA,Tidak Bekerja,"Desa_125, Jember"
I003008,Ibu_3008,1981-10-09,Tidak Sekolah,IRT,"Desa_174, Jember"
I003009,Ibu_3009,1983-04-07,SMA,Petani,"Desa_149, Jember"
I003010,Ibu_3010,1988-06-09,D3,IRT,"Desa_191, Jember"
I003011,Ibu_3011,2006-05-10,SD,Petani,"Desa_126, Jember"
I003012,Ibu_3012,2012-06-28,S1,IRT,"Desa_60, Jember"
I003013,Ibu_3013,2010-02-13,S1,IRT,"Desa_4, Jember"
I003014,Ibu_3014,2005-01-25,SMP,Karyawan,"Desa_159, Jember"
I003015,Ibu_3015,1989-09-25,S1,Karyawan,"Desa_163, Jember"
I003016,Ibu_3016,2001-07-03,SMA,Tidak Bekerja,"Desa_162, Jember"
I003017,Ibu_3017,1989-05-15,SMP,Pedagang,"Desa_86, Jember"
I003018,Ibu_3018,1994-12-08,SD,Karyawan,"Desa_25, Jember"
I003019,Ibu_3019,1993-08-07,S1,IRT,"Desa_181, Jember"
I003020,Ibu_3020,1980-09-08,D3,Petani,"Desa_78, Jember"
I003021,Ibu_3021,1989-07-02,S1,IRT,"Desa_163, Jember"
I003022,Ibu_3022,1988-07-10,SD,Petani,"Desa_101, Jember"
I003023,Ibu_3023,1985-04-06,D3,Pedagang,"Desa_3, Jember"
I003024,Ibu_3024,2001-06-25,D3,Karyawan,"Desa_115, Jember"
I003025,Ibu_3025,1990-11-18,D3,Karyawan,"Desa_49, Jember"
I003026,Ibu_3026,2011-03-16,SMA,Karyawan,"Desa_127, Jember"
I003027,Ibu_3027,2007-02-10,Tidak Sekolah,Pedagang,"Desa_45, Jember"
I003028,Ibu_3028,2011-07-27,Tidak Sekolah,Petani,"Desa_15, Jember"
I003029,Ibu_3029,1989-03-04,S1,Tidak Bekerja,"Desa_79, Jember"
I003030,Ibu_3030,1997-10-16,Tidak Sekolah,IRT,"Desa_11, Jember"
I003031,Ibu_3031,1990-09-26,Tidak Sekolah,Petani,"Desa_63, Jember"
I003032,Ibu_3032,2004-10-06,SD,Pedagang,"Desa_163, Jember"
I003033,Ibu_3033,1994-06-05,S1,Tidak Bekerja,"Desa_46, Jember"
I003034,Ibu_3034,1992-09-11,SMP,Tidak Bekerja,"Desa_173, Jember"
I003035,Ibu_3035,1997-01-27,SMP,Petani,"Desa_77, Jember"
I003036,Ibu_3036,2000-11-30,S1,Karyawan,"Desa_3, Jember"
I003037,Ibu_3037,2003-12-09,S1,Petani,"Desa_73, Jember"
I003038,Ibu_3038,2009-02-05,SMA,IRT,"Desa_78, Jember"
I003039,Ibu_3039,1996-02-12,S1,Karyawan,"Desa_6, Jember"
I003040,Ibu_3040,1993-11-01,S1,Pedagang,"Desa_27, Jember"
I003041,Ibu_3041,1991-09-25,D3,Tidak Bekerja,"Desa_41, Jember"
I003042,Ibu_3042,1996-02-18,SMA,Tidak Bekerja,"Desa_20, Jember"
I003043,Ibu_3043,2003-01-01,SMA,Tidak Bekerja,"Desa_114, Jember"
I003044,Ibu_3044,2002-04-22,SMA,Pedagang,"Desa_143, Jember"
I003045,Ibu_3045,2000-11-26,SD,Tidak Bekerja,"Desa_88, Jember"
I003046,Ibu_3046,1984-06-03,Tidak Sekolah,Pedagang,"Desa_109, Jember"
I003047,Ibu_3047,2012-05-28,SMP,Tidak Bekerja,"Desa_182, Jember"
I003048,Ibu_3048,2001-01-22,SMA,IRT,"Desa_164, Jember"
I003049,Ibu_3049,1994-05-13,S1,Petani,"Desa_53, Jember"
I003050,Ibu_3050,1989-02-10,Tidak Sekolah,Karyawan,"Desa_168, Jember"
I003051,Ibu_3051,1996-08-17,D3,IRT,"Desa_194, Jember"
I003052,Ibu_3052,1994-01-13,SMP,Tidak Bekerja,"Desa_80, Jember"
I003053,Ibu_3053,1998-07-26,D3,Petani,"Desa_52, Jember"
I003054,Ibu_3054,1982-01-19,SD,IRT,"Desa_103, Jember"
I003055,Ibu_3055,2005-03-26,D3,Petani,"Desa_18, Jember"
I003056,Ibu_3056,1989-12-04,SMA,Petani,"Desa_71, Jember"
I003057,Ibu_3057,1986-07-18,SMP,IRT,"Desa_87, Jember"
I003058,Ibu_3058,1980-09-22,SD,Pedagang,"Desa_94, Jember"
I003059,Ibu_3059,1991-09-12,Tidak Sekolah,Karyawan,"Desa_9, Jember"
I003060,Ibu_3060,2004-10-26,D3,Pedagang,"Desa_22, Jember"
I003061,Ibu_3061,2006-03-13,S1,Karyawan,"Desa_41, Jember"
I003062,Ibu_3062,2005-12-23,S1,Pedagang,"Desa_154, Jember"
I003063,Ibu_3063,2012-04-18,SD,Karyawan,"Desa_5, Jember"
I003064,Ibu_3064,1998-09-24,SD,IRT,"Desa_65, Jember"
I003065,Ibu_3065,1993-03-29,D3,Karyawan,"Desa_62, Jember"
I003066,Ibu_3066,1986-11-02,SMA,Karyawan,"Desa_22, Jember"
I003067,Ibu_3067,1988-10-19,Tidak Sekolah,Pedagang,"Desa_41, Jember"
I003068,Ibu_3068,1994-10-18,SD,Karyawan,"Desa_136, Jember"
I003069,Ibu_3069,1990-04-26,SMP,Tidak Bekerja,"Desa_112, Jember"
I003070,Ibu_3070,1997-01-14,SMA,IRT,"Desa_138, Jember"
I003071,Ibu_3071,2005-07-23,SMP,Petani,"Desa_109, Jember"
I003072,Ibu_3072,1991-01-09,S1,IRT,"Desa_110, Jember"
I003073,Ibu_3073,2002-05-25,S1,Pedagang,"Desa_118, Jember"
I003074,Ibu_3074,2004-09-12,S1,Tidak Bekerja,"Desa_113, Jember"
I003075,Ibu_3075,2009-05-13,SD,Tidak Bekerja,"Desa_89, Jember"
I003076,Ibu_3076,2010-09-20,S1,Pedagang,"Desa_99, Jember"
I003077,Ibu_3077,1995-02-21,D3,IRT,"Desa_76, Jember"
I003078,Ibu_3078,1991-07-18,SMP,Pedagang,"Desa_103, Jember"
I003079,Ibu_3079,2001-12-01,S1,Petani,"Desa_157, Jember"
I003080,Ibu_3080,2012-06-15,D3,Tidak Bekerja,"Desa_129, Jember"
I003081,Ibu_3081,2008-10-13,D3,Tidak Bekerja,"Desa_198, Jember"
I003082,Ibu_3082,2002-01-02,Tidak Sekolah,Karyawan,"Desa_172, Jember"
I003083,Ibu_3083,2000-09-02,Tidak Sekolah,Pedagang,"Desa_52, Jember"
I003084,Ibu_3084,1987-07-19,SMA,IRT,"Desa_98, Jember"
I003085,Ibu_3085,1995-10-19,S1,Karyawan,"Desa_62, Jember"
I003086,Ibu_3086,1987-08-05,SMP,Pedagang,"Desa_53, Jember"
I003087,Ibu_3087,1986-04-12,Tidak Sekolah,Pedagang,"Desa_196, Jember"
I003088,Ibu_3088,2012-04-23,SMP,IRT,"Desa_39, Jember"
I003089,Ibu_3089,2004-07-07,SMP,Tidak Bekerja,"Desa_9, Jember"
I003090,Ibu_3090,2001-11-26,D3,Karyawan,"Desa_146, Jember"
I003091,Ibu_3091,1988-04-03,SMA,Petani,"Desa_73, Jember"
I003092,Ibu_3092,2004-04-26,D3,Tidak Bekerja,"Desa_134, Jember"
I003093,Ibu_3093,2008-10-15,D3,Pedagang,"Desa_191, Jember"
I003094,Ibu_3094,1982-08-20,SD,Petani,"Desa_25, Jember"
I003095,Ibu_3095,2003-07-03,SMA,Petani,"Desa_105, Jember"
I003096,Ibu_3096,1981-07-08,SD,Petani,"Desa_130, Jember"
I003097,Ibu_3097,1983-05-02,SMP,Petani,"Desa_91, Jember"
I003098,Ibu_3098,2009-12-22,Tidak Sekolah,IRT,"Desa_49, Jember"
I003099,Ibu_3099,1982-03-05,SD,Karyawan,"Desa_22, Jember"
I003100,Ibu_3100,1980-04-14,S1,Petani,"Desa_150, Jember"
I003101,Ibu_3101,1998-07-01,SD,Pedagang,"Desa_149, Jember"
I003102,Ibu_3102,1986-03-02,S1,Tidak Bekerja,"Desa_169, Jember"
I003103,Ibu_3103,2008-04-16,SD,Karyawan,"Desa_153, Jember"
I003104,Ibu_3104,1990-05-19,SMA,Karyawan,"Desa_1, Jember"
I003105,Ibu_3105,1983-01-18,SMP,Pedagang,"Desa_177, Jember"
I003106,Ibu_3106,2011-09-21,S1,IRT,"Desa_135, Jember"
I003107,Ibu_3107,1986-10-10,Tidak Sekolah,Petani,"Desa_121, Jember"
I003108,Ibu_3108,1980-05-29,D3,Karyawan,"Desa_9, Jember"
I003109,Ibu_3109,1989-10-23,SD,IRT,"Desa_18, Jember"
I003110,Ibu_3110,2002-09-07,SMP,Petani,"Desa_194, Jember"
I003111,Ibu_3111,2000-06-15,S1,Tidak Bekerja,"Desa_78, Jember"
I003112,Ibu_3112,1996-09-27,SMP,Pedagang,"Desa_98, Jember"
I003113,Ibu_3113,1982-09-17,D3,Pedagang,"Desa_29, Jember"
I003114,Ibu_3114,2007-09-18,SMP,Karyawan,"Desa_132, Jember"
I003115,Ibu_3115,2008-08-09,SMA,Pedagang,"Desa_121, Jember"
I003116,Ibu_3116,2009-11-28,SMA,Pedagang,"Desa_15, Jember"
I003117,Ibu_3117,2007-08-28,SMP,Tidak Bekerja,"Desa_161, Jember"
I003118,Ibu_3118,2001-09-03,SD,Karyawan,"Desa_181, Jember"
I003119,Ibu_3119,2009-07-28,SMA,IRT,"Desa_42, Jember"
I003120,Ibu_3120,2001-11-19,SD,Tidak Bekerja,"Desa_122, Jember"
I003121,Ibu_3121,1980-09-14,Tidak Sekolah,IRT,"Desa_179, Jember"
I003122,Ibu_3122,1980-04-18,SMP,Pedagang,"Desa_59, Jember"
I003123,Ibu_3123,2003-11-15,SMP,Tidak Bekerja,"Desa_160, Jember"
I003124,Ibu_3124,2004-09-29,SD,Petani,"Desa_34, Jember"
I003125,Ibu_3125,1998-06-14,S1,Tidak Bekerja,"Desa_69, Jember"
I003126,Ibu_3126,1980-07-13,SD,Petani,"Desa_100, Jember"
I003127,Ibu_3127,1980-10-01,Tidak Sekolah,Pedagang,"Desa_119, Jember"
I003128,Ibu_3128,2003-09-30,Tidak Sekolah,IRT,"Desa_138, Jember"
I003129,Ibu_3129,2012-05-24,SMA,Tidak Bekerja,"Desa_200, Jember"
I003130,Ibu_3130,1992-04-28,D3,Petani,"Desa_60, Jember"
I003131,Ibu_3131,2004-01-12,D3,Pedagang,"Desa_23, Jember"
I003132,Ibu_3132,1992-11-10,SMP,Pedagang,"Desa_79, Jember"
I003133,Ibu_3133,1980-10-07,SD,Pedagang,"Desa_177, Jember"
I003134,Ibu_3134,2002-07-12,SMA,Petani,"Desa_100, Jember"
I003135,Ibu_3135,2011-04-21,SMA,Karyawan,"Desa_72, Jember"
I003136,Ibu_3136,2010-03-27,SD,Tidak Bekerja,"Desa_41, Jember"
I003137,Ibu_3137,1999-04-25,SD,Tidak Bekerja,"Desa_86, Jember"
I003138,Ibu_3138,1988-01-16,SD,Pedagang,"Desa_198, Jember"
I003139,Ibu_3139,1984-10-19,Tidak Sekolah,Tidak Bekerja,"Desa_8, Jember"
I003140,Ibu_3140,1984-04-27,Tidak Sekolah,Tidak Bekerja,"Desa_131, Jember"
I003141,Ibu_3141,2003-07-10,D3,Tidak Bekerja,"Desa_133, Jember"
I003142,Ibu_3142,1986-09-05,Tidak Sekolah,IRT,"Desa_188, Jember"
I003143,Ibu_3143,1990-10-23,S1,Tidak Bekerja,"Desa_45, Jember"
I003144,Ibu_3144,1988-08-10,Tidak Sekolah,Petani,"Desa_61, Jember"
I003145,Ibu_3145,2007-10-20,SMA,IRT,"Desa_37, Jember"
I003146,Ibu_3146,2003-08-13,SD,Karyawan,"Desa_199, Jember"
I003147,Ibu_3147,1991-04-28,S1,Tidak Bekerja,"Desa_68, Jember"
I003148,Ibu_3148,1995-11-25,SMP,Karyawan,"Desa_162, Jember"
I003149,Ibu_3149,1991-12-28,SMP,Pedagang,"Desa_51, Jember"
I003150,Ibu_3150,1997-10-20,SMA,Karyawan,"Desa_160, Jember"
I003151,Ibu_3151,1983-07-18,SMA,Tidak Bekerja,"Desa_106, Jember"
I003152,Ibu_3152,1996-09-25,SMP,Petani,"Desa_147, Jember"
I003153,Ibu_3153,1998-03-19,S1,Petani,"Desa_111, Jember"
I003154,Ibu_3154,2000-08-03,Tidak Sekolah,Pedagang,"Desa_161, Jember"
I003155,Ibu_3155,2005-05-05,SD,Tidak Bekerja,"Desa_185, Jember"
I003156,Ibu_3156,1990-11-28,SD,Karyawan,"Desa_79, Jember"
I003157,Ibu_3157,2011-04-11,S1,Petani,"Desa_184, Jember"
I003158,Ibu_3158,1990-02-17,D3,Karyawan,"Desa_172, Jember"
I003159,Ibu_3159,1993-06-15,Tidak Sekolah,Karyawan,"Desa_115, Jember"
I003160,Ibu_3160,2010-09-07,S1,Petani,"Desa_174, Jember"
I003161,Ibu_3161,1983-08-13,SMA,Petani,"Desa_126, Jember"
I003162,Ibu_3162,2009-04-28,SD,Petani,"Desa_55, Jember"
I003163,Ibu_3163,2009-02-24,Tidak Sekolah,Karyawan,"Desa_39, Jember"
I003164,Ibu_3164,1981-06-03,SMP,Tidak Bekerja,"Desa_64, Jember"
I003165,Ibu_3165,1984-03-11,SMP,Petani,"Desa_126, Jember"
I003166,Ibu_3166,1998-03-07,SMA,IRT,"Desa_41, Jember"
I003167,Ibu_3167,1997-01-04,S1,Petani,"Desa_66, Jember"
I003168,Ibu_3168,1996-12-01,D3,Karyawan,"Desa_152, Jember"
I003169,Ibu_3169,2004-10-16,SD,Pedagang,"Desa_183, Jember"
I003170,Ibu_3170,2001-05-08,S1,Petani,"Desa_184, Jember"
I003171,Ibu_3171,1982-07-08,Tidak Sekolah,Pedagang,"Desa_43, Jember"
I003172,Ibu_3172,2008-07-24,Tidak Sekolah,IRT,"Desa_155, Jember"
I003173,Ibu_3173,1980-06-03,S1,Tidak Bekerja,"Desa_43, Jember"
I003174,Ibu_3174,2011-07-12,D3,Petani,"Desa_167, Jember"
I003175,Ibu_3175,1987-09-08,SMP,Tidak Bekerja,"Desa_23, Jember"
I003176,Ibu_3176,1983-09-16,Tidak Sekolah,Tidak Bekerja,"Desa_64, Jember"
I003177,Ibu_3177,2002-06-03,D3,Pedagang,"Desa_60, Jember"
I003178,Ibu_3178,1999-06-19,SMA,Pedagang,"Desa_36, Jember"
I003179,Ibu_3179,2008-12-05,S1,Karyawan,"Desa_79, Jember"
I003180,Ibu_3180,1994-11-10,D3,Tidak Bekerja,"Desa_2, Jember"
I003181,Ibu_3181,2005-05-19,SMP,IRT,"Desa_101, Jember"
I003182,Ibu_3182,1984-04-11,SMP,Petani,"Desa_19, Jember"
I003183,Ibu_3183,2003-09-10,SMP,Petani,"Desa_133, Jember"
I003184,Ibu_3184,1981-11-28,SMA,Tidak Bekerja,"Desa_104, Jember"
I003185,Ibu_3185,1990-04-22,SD,IRT,"Desa_176, Jember"
I003186,Ibu_3186,1989-06-25,D3,IRT,"Desa_158, Jember"
I003187,Ibu_3187,2011-01-20,SMA,Karyawan,"Desa_166, Jember"
I003188,Ibu_3188,2005-06-04,SMP,Karyawan,"Desa_74, Jember"
I003189,Ibu_3189,2001-04-30,SMP,IRT,"Desa_104, Jember"
I003190,Ibu_3190,1992-02-28,SMA,IRT,"Desa_6, Jember"
I003191,Ibu_3191,1982-02-01,SD,Karyawan,"Desa_92, Jember"
I003192,Ibu_3192,1983-05-03,SMA,Petani,"Desa_102, Jember"
I003193,Ibu_3193,2010-09-13,Tidak Sekolah,Tidak Bekerja,"Desa_151, Jember"
I003194,Ibu_3194,1992-07-29,Tidak Sekolah,Pedagang,"Desa_39, Jember"
I003195,Ibu_3195,2004-05-11,Tidak Sekolah,Pedagang,"Desa_115, Jember"
I003196,Ibu_3196,2005-04-11,SMP,IRT,"Desa_65, Jember"
I003197,Ibu_3197,2009-07-09,SMP,Petani,"Desa_95, Jember"
I003198,Ibu_3198,1981-06-23,D3,Karyawan,"Desa_7, Jember"
I003199,Ibu_3199,1988-01-17,SD,Tidak Bekerja,"Desa_94, Jember"
I003200,Ibu_3200,1994-02-08,SD,Pedagang,"Desa_185, Jember"
I003201,Ibu_3201,1980-09-13,S1,Pedagang,"Desa_180, Jember"
I003202,Ibu_3202,1989-04-17,S1,Karyawan,"Desa_105, Jember"
I003203,Ibu_3203,2006-05-01,SD,Petani,"Desa_159, Jember"
I003204,Ibu_3204,1986-06-20,SD,Pedagang,"Desa_92, Jember"
I003205,Ibu_3205,2011-12-21,SMP,Petani,"Desa_171, Jember"
I003206,Ibu_3206,1997-11-12,SMA,Pedagang,"Desa_135, Jember"
I003207,Ibu_3207,1983-06-14,D3,IRT,"Desa_43, Jember"
I003208,Ibu_3208,1993-06-04,S1,Pedagang,"Desa_98, Jember"
I003209,Ibu_3209,1987-04-15,D3,Petani,"Desa_22, Jember"
I003210,Ibu_3210,2005-04-18,SD,Tidak Bekerja,"Desa_110, Jember"
I003211,Ibu_3211,1990-10-14,Tidak Sekolah,IRT,"Desa_189, Jember"
I003212,Ibu_3212,2005-06-02,D3,IRT,"Desa_150, Jember"
I003213,Ibu_3213,1997-06-15,SMP,Petani,"Desa_25, Jember"
I003214,Ibu_3214,2010-05-15,SD,Petani,"Desa_52, Jember"
I003215,Ibu_3215,2004-03-31,D3,Petani,"Desa_71, Jember"
I003216,Ibu_3216,1994-11-18,SD,IRT,"Desa_57, Jember"
I003217,Ibu_3217,1997-03-20,SMP,Tidak Bekerja,"Desa_161, Jember"
I003218,Ibu_3218,1986-04-11,S1,Karyawan,"Desa_195, Jember"
I003219,Ibu_3219,2010-12-02,D3,Karyawan,"Desa_134, Jember"
I003220,Ibu_3220,2012-06-25,D3,Karyawan,"Desa_173, Jember"
I003221,Ibu_3221,1983-07-08,Tidak Sekolah,Tidak Bekerja,"Desa_193, Jember"
I003222,Ibu_3222,2002-06-18,Tidak Sekolah,IRT,"Desa_19, Jember"
I003223,Ibu_3223,1995-07-07,SMP,Karyawan,"Desa_40, Jember"
I003224,Ibu_3224,1982-05-29,SD,Karyawan,"Desa_196, Jember"
I003225,Ibu_3225,1984-05-19,SMP,Karyawan,"Desa_87, Jember"
I003226,Ibu_3226,1999-08-10,SD,Pedagang,"Desa_144, Jember"
I003227,Ibu_3227,1990-05-31,SD,Karyawan,"Desa_13, Jember"
I003228,Ibu_3228,1983-05-30,S1,Karyawan,"Desa_48, Jember"
I003229,Ibu_3229,1995-04-12,SMA,Petani,"Desa_82, Jember"
I003230,Ibu_3230,2007-02-23,SMP,IRT,"Desa_101, Jember"
I003231,Ibu_3231,2007-07-15,D3,IRT,"Desa_44, Jember"
I003232,Ibu_3232,2006-09-19,D3,IRT,"Desa_22, Jember"
I003233,Ibu_3233,1997-10-17,Tidak Sekolah,IRT,"Desa_154, Jember"
I003234,Ibu_3234,1994-08-22,SMP,Pedagang,"Desa_114, Jember"
I003235,Ibu_3235,1981-04-30,SD,IRT,"Desa_70, Jember"
I003236,Ibu_3236,2008-06-11,S1,Tidak Bekerja,"Desa_122, Jember"
I003237,Ibu_3237,1992-04-05,SMA,Petani,"Desa_112, Jember"
